siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
O4652XR5210B	LT	231.075	209.679	205.400	199.857	215.635	212.238	232.306	242.487	236.918	237.337	262.222	291.509
O4652XR5210B	LU	359.289	327.231	313.985	292.772	284.513	300.667	328.320	342.872	261.775	317.108	322.159	358.575
O4652XR5210B	LV	232.095	210.041	205.840	204.790	199.539	191.911	183.980	174.615	167.662	166.047	141.962	148.004
O4652XR5210B	MT	72.920	73.947	73.947	78.055	78.055	79.323	79.945	84.623	71.225	77.043	84.749	88.325
O4652XR5210B	NL	3922.428	3823.254	3706.155	3722.370	3845.545	3974.920	4038.400	4123.338	3430.635	3537.352	3625.314	4059.046
O4652XR5210B	PL	3841.359	3659.716	3535.393	3654.199	3859.606	4218.907	4386.983	4535.698	4226.926	4673.958	4951.490	5195.674
O4652XR5210B	PT	1182.287	1151.810	1144.454	1099.264	1082.450	1080.017	1067.988	1106.876	916.122	995.697	1083.899	1210.549
O4652XR5210B	RO	1331.239	1267.847	1354.102	1268.886	1326.043	1333.077	1320.309	1322.343	1234.260	1316.628	1349.042	1407.128
O4652XR5210B	SE	2722.559	2569.201	2462.943	2395.445	2289.417	2181.063	2039.413	1990.432	1817.766	1907.731	1762.751	1721.834
O4652XR5210B	SI	525.764	478.634	447.214	436.740	433.598	422.887	425.651	407.666	321.921	365.837	425.874	453.196
O4652XR5210B	SK	554.742	562.680	551.591	576.812	609.309	609.184	570.844	548.808	503.663	513.060	539.241	582.188
O4661XR5230B	AT	30.278	30.359	29.241	29.145	27.936	27.377	28.826	23.572	14.822	14.359	16.377	16.703
O4661XR5230B	BE	3.697	3.903	3.389	3.595	2.670	2.876	3.184	2.876	2.739	1.896	2.107	2.107
O4661XR5230B	BG	10.270	11.297	8.216	12.324	19.514	20.121	17.120	6.950	3.717	4.820	7.790	5.632
O4661XR5230B	CY	0.000	0.000	0.000	0.000	0.000	1.938	1.861	1.375	1.453	1.598	3.085	2.779
O4661XR5230B	CZ	19.650	17.581	16.547	35.163	39.300	49.642	31.026	44.471	39.300	4.137	4.137	4.137
O4661XR5230B	DE	710.471	666.514	715.582	716.605	766.695	663.447	641.980	722.738	291.344	247.387	336.324	363.925
O4661XR5230B	DK	37.403	36.364	35.325	32.676	33.947	32.732	30.507	30.813	15.994	17.647	24.401	24.478
O4661XR5230B	EE	1.008	1.302	1.315	1.389	1.131	1.194	1.333	1.291	1.201	1.874	1.620	1.854
O4661XR5230B	EL	184.867	174.596	177.677	166.380	186.921	192.848	220.110	222.394	88.546	149.348	227.156	279.012
O4661XR5230B	ES	1867.519	1590.499	1687.403	1824.334	1985.490	2158.233	2245.658	2373.108	955.353	1658.853	2499.886	2640.724
O4661XR5230B	EU27_2020	5490.420	5128.695	5154.232	5356.753	5683.468	5946.145	6206.369	6447.603	2967.889	4054.321	5912.193	6150.956
O4661XR5230B	FI	72.394	62.052	62.052	59.984	61.018	63.086	69.292	66.189	27.923	24.821	43.437	43.437
O4661XR5230B	FR	1490.643	1466.738	1405.766	1405.770	1451.822	1499.885	1577.591	1604.193	967.977	1185.639	1560.532	1400.079
O4661XR5230B	HR	9.450	9.450	9.450	10.500	10.500	10.080	10.185	10.290	5.145	6.930	8.190	9.555
O4661XR5230B	HU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4661XR5230B	IE	6.320	6.320	6.320	6.320	3.160	5.025	4.885	5.226	3.805	5.689	12.988	7.000
O4661XR5230B	IT	680.926	680.926	643.952	695.304	708.656	779.358	874.108	904.573	341.594	466.829	813.497	1009.492
O4661XR5230B	LT	0.000	0.000	0.000	0.000	0.000	0.103	0.103	0.207	0.207	0.310	0.207	1.033
O4661XR5230B	LU	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
O4661XR5230B	LV	1.032	1.032	1.032	0.000	0.000	1.328	0.239	0.129	0.252	0.276	1.194	0.714
O4661XR5230B	MT	1.027	1.027	0.000	1.027	1.027	0.519	0.657	0.590	0.653	0.678	0.684	0.834
O4661XR5230B	NL	12.468	11.429	9.351	9.085	9.011	9.754	9.897	9.906	7.123	7.710	9.450	8.353
O4661XR5230B	PL	13.351	12.324	21.568	14.379	20.541	24.023	28.642	29.624	14.452	26.045	26.525	35.057
