siec	geo	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
E7000	AT	2311.425	2311.315	2316.395	2346.062	2420.837	2431.889	2446.815	2415.390	2257.358	2308.168	2199.823	2028.404
E7000	BA	:	:	336.199	343.852	350.731	373.517	375.494	317.283	223.732	270.593	244.712	:
E7000	BE	3291.427	3248.366	3262.554	3275.486	3298.650	3317.618	3354.213	3290.232	3138.779	3244.093	3069.931	2884.007
E7000	BG	710.834	731.814	748.581	776.698	780.997	837.255	848.809	845.253	813.143	833.477	826.171	783.442
E7000	CY	41.702	39.725	39.811	39.467	41.788	44.561	45.575	45.741	45.704	47.718	50.135	54.200
E7000	CZ	1924.076	1830.267	1902.837	1947.120	1978.160	2055.244	2089.591	2087.446	1988.136	2112.625	2062.711	1959.131
E7000	DE	19827.343	19591.574	20022.528	19675.408	19825.795	19967.928	19838.693	19197.506	18196.819	18858.813	17724.420	16571.625
E7000	DK	734.566	718.745	706.277	719.148	724.075	737.120	742.864	715.059	734.385	779.310	757.435	730.491
E7000	EE	188.048	185.383	182.029	177.042	185.039	196.131	202.923	183.314	183.063	189.996	179.584	153.338
E7000	EL	995.099	977.300	1106.535	1089.252	970.335	1056.234	1067.369	1058.284	1019.523	1046.472	1022.599	980.892
E7000	ES	6230.954	6090.112	6161.393	6539.553	6698.108	6966.380	6763.457	6528.375	5923.044	6521.410	6106.535	5774.910
E7000	EU27_2020	79127.538	77936.210	78252.822	78566.779	79598.399	81014.429	81274.955	80195.468	76101.633	78999.005	74722.027	70083.063
E7000	FI	3281.599	3328.031	3282.287	3258.212	3310.662	3328.375	3395.271	3315.821	3103.095	3276.354	2989.338	2846.518
E7000	FR	10293.211	10157.960	10069.997	9966.284	10120.888	10037.672	10053.611	9944.634	9097.449	9673.198	9220.742	8769.031
E7000	GE	:	200.086	242.218	236.543	249.527	283.276	284.239	279.691	268.822	306.311	312.863	:
E7000	HR	261.307	270.679	282.975	294.841	294.583	310.138	316.681	310.628	307.420	325.572	294.316	311.857
E7000	HU	1272.743	1276.010	1263.629	1324.420	1375.924	1438.951	1481.857	1526.311	1503.009	1614.359	1561.823	1506.707
E7000	IE	527.510	540.603	574.840	560.678	578.984	577.867	553.474	547.417	581.902	584.005	568.603	576.587
E7000	IS	1221.066	1262.081	1262.425	1300.860	1276.010	1323.169	1334.892	1281.176	1267.273	1294.665	1317.629	1325.504
E7000	IT	10345.916	9886.586	9709.200	9687.446	9738.349	9940.621	9980.236	10278.144	10086.375	10107.553	9599.119	9177.373
E7000	LT	250.043	256.750	268.186	284.867	293.809	312.580	316.913	326.225	321.496	337.739	309.028	290.628
E7000	LU	275.734	262.351	264.579	270.516	295.091	258.614	273.036	258.493	245.076	253.327	267.989	249.761
E7000	LV	171.367	155.460	143.336	146.432	143.336	151.560	158.381	158.736	160.240	167.326	158.923	150.543
E7000	MD	72.657	74.979	77.902	66.466	64.574	65.692	66.294	63.629	60.619	64.574	62.081	55.443
E7000	ME	159.501	114.015	65.348	65.950	56.750	62.915	63.405	60.060	60.206	58.332	17.008	14.609
E7000	MK	189.682	194.411	190.972	169.905	142.175	126.560	134.105	139.306	141.216	147.489	124.601	114.821
E7000	MT	34.652	34.738	34.910	35.684	35.340	39.438	41.049	40.440	39.737	42.148	43.304	42.415
E7000	NL	3005.962	2991.452	2852.418	2947.263	3050.109	3065.783	3111.734	3060.510	3067.075	3036.185	2909.902	2750.521
E7000	NO	3739.639	3727.257	3821.668	3870.335	3960.339	3969.273	4020.373	3982.763	4027.620	4223.724	4118.046	3924.902
E7000	PL	3844.712	4066.208	4091.574	4254.686	4403.267	4689.870	4851.599	4873.209	4669.524	4841.526	4573.004	3618.396
E7000	PT	1369.905	1375.150	1323.732	1331.126	1345.106	1388.013	1409.879	1435.555	1381.507	1429.856	1462.915	1432.571
E7000	RO	1754.514	1618.487	1707.223	1764.832	1789.940	1867.920	1910.992	1887.252	1740.642	1814.560	1556.012	1437.301
E7000	RS	610.834	623.474	621.066	648.237	687.962	722.443	751.099	755.207	740.960	806.550	821.198	827.854
E7000	SE	4649.785	4472.399	4361.995	4323.388	4324.076	4379.966	4361.049	4254.342	4082.459	4033.878	3880.997	3837.059
E7000	SI	509.200	505.417	520.808	533.018	536.028	554.276	558.798	558.185	511.750	521.229	473.272	404.134
E7000	SK	1023.904	1013.328	1052.193	997.850	1039.123	1062.425	1100.086	1052.966	902.923	998.108	853.396	761.221
E7000	TR	7762.253	7857.610	8241.101	8660.619	9050.989	9746.724	9837.827	9596.703	9978.492	11460.433	11095.585	10858.730
E7000	UA	5425.709	5037.317	4677.644	4296.045	4294.153	4319.433	4447.721	4178.117	3945.641	:	:	:
E7000	UK	8476.268	8346.260	8010.060	8000.369	8032.956	7939.807	8081.377	7887.532	:	:	:	:
E7000	XK	107.911	107.911	112.726	117.627	90.112	91.436	84.237	89.672	92.153	98.202	95.494	84.240
G3000	AL	3.332	5.589	6.836	11.156	10.035	12.500	7.380	6.480	6.479	6.479	5.900	10.745
G3000	AT	2516.719	2606.118	2541.853	2556.808	2609.971	2644.283	2680.414	2715.360	2656.500	2784.823	2657.715	2310.448
G3000	BA	:	:	62.274	72.614	75.989	85.471	87.060	76.419	59.093	78.719	80.955	:
G3000	BE	3740.925	3803.778	3653.908	3734.094	3799.200	4006.341	4035.599	3966.728	3849.854	4031.943	3459.779	3402.891
G3000	BG	756.258	759.962	782.556	918.887	919.774	928.881	896.598	825.959	848.657	937.999	767.896	699.046
G3000	CY	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
G3000	CZ	2037.274	2052.386	1905.954	1982.287	2015.225	2140.800	2023.730	2029.455	2033.926	2231.893	2002.763	1776.030
G3000	DE	19597.664	19638.491	19228.921	19198.968	19991.739	20883.661	19605.587	19475.698	19652.644	20492.015	18010.067	17022.072
